MUNICIPALITY,POPULATION,TOTAL EXPENDITURES,TOP EXPENDITURE CATEGORY,TOP EXPENDITURE,TOP EXPENDITURE % OF TOTAL ,2ND EXPENDITURE CATEGORY,2ND EXPENDITURE,2ND EXPENDITURE % OF TOTAL ,3RD EXPENDITURE CATEGORY,3RD EXPENDITURE,3RD EXPENDITURE % OF TOTAL ,ADMIN EXPENDITURE,ADMINISTRATION % OF TOTAL EXPENDITURES
Fenton,4052,9806957,Public Safety,2452108,0.250037600858248,Parks and Recreation,2446901,0.249506651247681,Debt Service,1547100,0.15775535673298,1312298,0.133812965632459
Ferguson,21059,23792524,Public Safety,9028104,0.379451293187726,Capital Outlays,6276447,0.263799124464475,General Government,2240144,0.0941532726834698,2240144,0.0941532726834698
Flordell Hills,814,374758.67,Public Safety,156663.07,0.418037213121714,Administration,118173.57,0.315332451147828,Court Expenses,46941.4,0.125257675826419,118173.57,0.315332451147828
Florissant,52268,33720171,Public Safety,10618205,0.31489178984294,Culture and Recreation,6070746,0.180033072786019,Capital Outlay,5755227,0.17067609176715,4730623,0.140290599356688
Frontenac,3574,8753365,Police,2630532,0.300516658450779,Fire,2315850,0.264566826586119,Capital Outlay,1451038,0.165769164201424,671757,0.0767427155156903
Glen Echo Park,160,38716,Solid Waste Management,10800,0.278954437441884,Police ,10333,0.266892240933981,Administration,4450,0.114939559871888,4450,0.114939559871888
Glendale,5927,5160614,Fire Department,1319327,0.255653106393929,Public Works,1128973,0.218767185455064,Police Department,1102937,0.213722049353042,642986,0.124594864099504
Grantwood Village,866,271838,Public Safety,127109,0.467590991693582,Roads and Bridges,81899,0.301278702756789,General Government,51300,0.188715337811491,51300,0.188715337811491
Green Park,2640,1333405,Administration,353727,0.265280991146726,Police protection,226630,0.16996336446916,Sanitation,224922,0.168682433319209,353727,0.265280991146726
Greendale,653,377016,Administration,137680,0.365183440490589,Public Works,117586,0.311885967704288,Police and Court,83319,0.220995925902349,137680,0.365183440490589
Hanley Hills,2126,630554,Police,208361,0.330441167608167,Administration,167814,0.266137396638512,Highways and Streets,107624,0.170681654545051,167814,0.266137396638512
Hazelwood,25661,43175793,Fire and ambulance,9087169,0.210469070018008,Debt Service,8452030,0.195758535344099,Police,7838366,0.181545385860081,2274547,0.0526810706175101
Hillsdale,1513,997232.47,Police,541797.86,0.543301463098168,Administration,230508.19,0.231147898744212,Streets,113893.54,0.114209618545614,230508.19,0.231147898744212
Huntleigh,335,147654.58,"Police, Fire & EMS",132340.44,0.896284016384727,Professional Fees,12277.67,0.0831512981175389,Public Offical Bonds,1162.5,0.00787310491824907,13404.64,0.0907837738592328
Jennings,14819,13083079,Public Safety - Police,3390954,0.259186235900586,Economic Development,2018818,0.154307560169896,Capital Outlay,1439873,0.11005612669617,1315940,0.100583356563084
Kinloch,299,411619.17,Police,198742.9,0.482831982776701,Administration,189496.6,0.46036874327306,Public Works/Streets,23379.67,0.056799273950239,189496.6,0.46036874327306
Kirkwood,27750,29449987,Police,7667135,0.260344257537363,FIre,5680975,0.192902462062207,General Government,4066910,0.138095476918207,4066910,0.138095476918207
Ladue,8597,14033467,Fire Department,4672377,0.332945308525684,Police Department,4241519,0.302243130653316,Capital Outlay,2213335,0.157718331471475,1240593,0.0884024596345294
Lakeshire,1428,607255.42,Police Department,396793.64,0.653421323106511,Streets Department,77931.32,0.128333675473823,General Administration,65796.12,0.108349992166393,,0
Mackenzie,133,55061.82,Administration,11632.18,0.2112567292545,Trash Collection,11416,0.207330596772864,Police Services,10092,0.183284896866831,11632.18,0.2112567292545
Manchester,18229,18027310,Debt Service,6925081,0.384143890574911,Police Department,3182223,0.17652234304508,Public Works,2735986,0.151768954991066,1491612,0.0827417956422783
Maplewood,7945,15401629,Public Safety,5989491,0.388886850864931,Debt Service,2479295,0.16097615388606,Capital Outlay,2054217,0.133376605812281,1827212,0.118637580479312
Marlborough,2191,541980.68,Police Services,315011,0.581221825102695,Administration,121071.03,0.223386246904594,Trash Hauling,56192.4,0.103679710501858,121071.03,0.223386246904594
Maryland Heights,27389,44094801,Capital Outlay,14448697,0.327673482413494,Police Services,10143534,0.230039228434209,Debt Service,3437310,0.0779527273521429,1785619,0.0404950007598402
Moline Acres,2431,2812992,Capital Outlay,1024569,0.36422748447205,Police,665869,0.236712013400678,Debt Service,431636,0.153443735353673,419341,0.149072944395149
Normandy,4978,4430776,Public Safety,2307569,0.520804707798363,Administration,508979,0.114873557137621,Contract Services,415258,0.0937212804258216,508979,0.114873557137621
Northwoods,4193,3929316,Police,834544,0.212389128285941,Administration,826152,0.2102533876125,Capital Outlay,791653,0.201473488006564,826152,0.2102533876125
Norwood Court,962,261944,Police services,94074,0.359137830986776,Street and Property Maintenance,90479,0.345413523501206,Administrative,59791,0.228258711785725,59791,0.228258711785725
Oakland,1382,705632,Engineering/landscaping,230010,0.325963108249059,Administration,156824,0.222246156636887,Fire and police protection,140032,0.198449049929708,156824,0.222246156636887
Olivette,7870,12590894,Public Safety,4927998,0.391393812067674,Capital Outlay,3025830,0.240318916194513,Administrative,1534933,0.121908182214861,1534933,0.121908182214861
Overland,15959,10573665,Police department,4243139,0.401293118327467,General Government,1668188,0.157768191067147,Capital Outlay,1235436,0.116840849412195,1668188,0.157768191067147
Pacific,7161,4898399,Public Safety,1650792,0.337006438226041,Street Department,878896,0.179425155035349,Capital Outlay,741729,0.151422740368843,579454,0.118294569307237
Pagedale,3312,2580186,Police protection,1072561,0.415691349383339,Public Works,721051,0.279456984884035,Housing and sanitation,281537,0.109115001786693,176449,0.0683861551066473
Pasadena Hills,923,505456,Administration,152370,0.301450571365262,Debt Service,123903,0.245131129119053,Public Works,116355,0.23019807856668,152370,0.301450571365262
Pasadena Park,461,214877,Police,67471,0.31399824085407,Trash,53761,0.250194297202586,Administrative,46813,0.217859519632162,46813,0.217859519632162
Pine Lawn,3419,1790922,Police,892908,0.498574477280418,Administration,468916,0.261829381737451,Courts,178228,0.0995174552548911,468916,0.261829381737451
Richmond Heights,8481,22832804,Public Safety,7371076,0.322828330677213,Debt Service,4544920,0.199052205765004,General Government,3697292,0.161928950995244,3697292,0.161928950995244
Riverview,2835,1134532,Police,633550,0.558424090285686,Administration,225530,0.198786812535918,Public Works,120789,0.106465926038225,225530,0.198786812535918
Rock Hill,4646,5514488,Debt Services,1112923,0.201818011028404,Capital Outlay,1059894,0.19220170576126,Police Department,920900,0.166996464585651,735528,0.133381013794934
Saint Ann,12940,15967634,Police,4406169,0.275943762238037,Projects,4228905,0.264842305378493,Administration,2063713,0.129243505957113,2063713,0.129243505957113
Saint John,6464,5302574,Public Safety,1529677,0.288478199455585,General Government,1344821,0.253616639767781,Public Works,1061889,0.200259157156505,1344821,0.253616639767781
Saint Louis City,315685,858553000,Police,183337000,0.213541854725334,Debt Service,111845000,0.130271514979273,Community Development,82459000,0.0960441580193651,59708000,0.0695449203485399
Shrewsbury,6202,9145744,Public works and planning,2250372,0.24605674508274,Public Safety,2158905,0.236055699787792,Fire and ambulance ,1824366,0.199477046372608,850390,0.0929820471686065
STL County,1003362,769831442,Public Safety,174700770,0.226933794164255,Transportation,138882852,0.180406832486845,Capital Outlay,107435444,0.139557100604888,106186207,0.137934359662073
Sunset Hills,8539,10200069,Public Safety,2343637,0.229766779028652,Capital outlay,1904466,0.186711089895568,Parks and recreation,1383272,0.135613984572065,485732,0.0476204621753049
Sycamore Hills,670,182751.13,Refuse Collection,79404,0.434492525436094,Police,48965.06,0.26793300812969,Administrative,29648.69,0.162235330637901,29648.69,0.162235330637901
Town & Country,11106,13122930,Police Services,3909570,0.29791898608009,Fire and ambulance services,3693320,0.281440196663398,Capital Outlay,2227852,0.16976787958177,1823463,0.138952429068813
Twin Oaks,393,989127,Administration,423271,0.427923815647536,Parks,154281,0.155976937238595,Streets,127510,0.128911656440477,423271,0.427923815647536
University City,35058,33318517,Public Safety,12774937,0.383418535704935,General Government,7974850,0.239351889521373,Capital Outlay,4949191,0.148541755324824,7974850,0.239351889521373
Uplands Park,446,162023.57,Police Services,40383,0.24924151467592,Office Staff,29844.86,0.184200730794908,Board/Trustees,13678.93,0.0844255561089044,98384.38,0.607222640508415
Valley Park,6974,7886480.7,Community Development,3276510.64,0.415459159115168,Debt Service,1454548.15,0.184435644406002,Police,1301096.96,0.164978145448324,860660.5,0.109131123594837
Velda City,1403,1045517.43,Police,462318.77,0.442191355910728,City Hall,293450.84,0.280675225089265,Judicial,112571.73,0.107670830509253,293451,0.280675378123538
Velda Village Hills,1058,415212,Administration,196403,0.473018602545206,Municipal Court,114038,0.274650058283479,Street Dept,68827,0.165763513578606,196403,0.473018602545206
Vinita Park,1886,4273330,Police,2314461,0.541605960691077,Capital outlay,556996,0.13034237936223,Public Works,508387,0.118967409490959,472623,0.110598292198356
Vinita Terrace,278,203874.88,Police Services,87380.8,0.428600129648145,Court,47016.15,0.230612766025908,Administration,43778.22,0.214730819216178,43778.22,0.214730819216178
Warson Woods,1958,3294426,Capital Outlay,1874631,0.569031145334574,Police,570221,0.173086601429202,Administration,283069,0.0859236176499336,283069,0.0859236176499336
Webster Groves,23177,21993202,Public Safety,8221349,0.373813190093921,General Government,3041105,0.138274772359204,Parks and recreation,3008499,0.136792223342467,3041105,0.138274772359204
Wellston,2323,3029749.14,Breakdown not provided,Breakdown not provided,,Breakdown not provided,Breakdown not provided,,Breakdown not provided,Breakdown not provided,,Breakdown not provided,
Westwood,279,Information not provided,Information not provided,Information not provided,,Information not provided,Information not provided,,Information not provided,Information not provided,,Information not provided,
Wilbur Park,477,96934.56,Rubbish Expense,36750.82,0.379130209081261,Police Contract,16304,0.168195945800961,Trustee Fees,14177,0.146253307385931,31842.57,0.328495533481557
Wildwood,35899,13973079,Capital Outlay,5460314,0.390773858789462,Police,3091368,0.221237423763224,Public Works,1749345,0.125193953315515,1125634,0.0805573345717147
Winchester,1540,742340.29,Administrative,323976.96,0.436426480367919,Public Safety,201507.71,0.271449243311312,Streets and Sewer,123081.09,0.165801441277019,323976.96,0.436426480367919
Woodson Terrace,4072,4659403.9,Police,1623680.28,0.348473820867944,Capital Outlay,970704.64,0.208332366292607,Administration,652127.74,0.13995947850754,652127.74,0.13995947850754
